key	linga	base	pratyaya	head_segment	lnum	page
akrUra				akrUra tri0 na krUraH . krUraBinne sarale, svanAmaprasidDe vfzRivaMSye kzattriyaBede pu0 .	108	0041,a
akroDa				akroDa pu0 na kroDaH aBAvArTe na0 ta0 . kroDABAve yamaBede ahiMsA kzAntirakroDaH satyAsteyAparigrahA ” iti purA- [Page0041-b+ 38] Ram . “ akroDaM Sikzayantyanye kroDanA ye tapoDanA iti nEza0 na0 ba0 .	109	0041,a
aklama				aklama pu0 na klamaH aBAvArTe na0 ta0 . SramABAve . na0 ba0 . SramaSUnye tri0 .	110	0041,b
aklizwa		kliSa	BAve ktana0 7 ba0	aklizwa kliSa — BAve ktana0 7 ba0 . kleSarahite karmmAdO . kliSa- karttari kta na0 ta0 . SrAntaBinne tri0 .	111	0041,b
akleSa				akleSa pu0 aBAvArTe na0 ta0 . kleSABAve . na0 ba0 . kleSaSUnye tri0 .	112	0041,b
akza				akza vyAptO saMhatO ca BvA0 pa0 vew . akzati akzRoti AkzIt AzwAm AkzizwAm Anakze . kta azwaH ktin azwiH Satf akzRuvan i akzi — kanin akza .	113	0041,b
akza				akza na0 aSnute vyApnoti vizayAn svavfttyA saMyogena vA aSa — sa . indriye, “ akzARi paRqitajanA vidurindri- yARi ” u0 netre, aDokzaja iti . tutTe (tu~te) sOvarcale ca . jyotizokte rASicakrAvayavaBede	114	0041,b
akzaka	pu0	akza iva kAyati kE	ka	akzaka pu0 akza iva kAyati kE — ka . tiniSavfkze . svArTe- kan . akzaSabdArTe prakftiliNgam .	115	0042,a
akzakUwa				akzakUwa pu0 akzasya cakzuzaH kUwa iva . netratArAyAM, svArTe kan . tatrEva .	116	0042,a
akzakzetra				akzakzetra na0 akzanimittaM kzetram SA0 ta0 . jyotizoktezu akzasADanArTaM kzetratayA kalpitezu akzaBavezu azwasu kzetrezu . tAni ca sidDAntaSiromaRO gaRitADyAye darSitAni yaTA . “ Bujo'kzaBA kowirinAN	117	0042,a
akzaja	na0	akzAt indriyasannikarzAt jAyate jana	qa	akzaja na0 akzAt indriyasannikarzAt jAyate jana — qa . indriyavizayasannikarzotpanne pratyakzajYAne vajre asTirUpA- yavajAtatvAttasya tannAmatvam . prAguktAkzArTajAte tri0 . jyotizokte akzaBave kzetrA	118	0042,b
akzaRika				akzaRika tri0 na kzaRikaM na0 . sTire niScale ca . “ hari- vIkzaRAkzaRikacakzuzeti ” mAGaH . akzaRikacakzuzA sTira- dfzwyA stimitanetrayetyarTaH iti mallinATaH .	119	0042,b
akzaRvat				akzaRvat tri0 akzaasyAsti matup masya vaH . netrayukte “ paSya- dakzaRvAnna viveda ” iti “ akzaRvantaHkarmmavantaH samarTA ” iti ca vedaH .	120	0042,b
akzata				akzata pu0 ba0 na kzatAH . “ akzatASca yavAH proktA iti kA0 smftyukte yave . napuMsakamiti kecit “ dUrvAkzatAni ” ceti purARam . taRqule, “ akzatErnArccayedvizRuM na tulasyA vinA- yakamiti ” tantram .	121	0042,b
akzadarSaka				akzadarSaka pu0 akzARAmfRAdAnAdivyavahArARAM darSakaH dfSa — Rvul 6 ta0 . vivAdanirRetari DarmmADikaraRADyakze . dyUtadarSake tri0 .	122	0042,b
akzadfS	pu0	akzAn vyavahArAn paSyati dfSa	kvin kutvam	akzadfS pu0 akzAn vyavahArAn paSyati dfSa — kvin kutvam . akzadarSakaSabdArTe . akzArTadrazwari tri0 .	123	0042,b
