key	key_stem	linga	vyutpatti	nirvacana	base	chain	pratyaya	qualifier	unadi_ref	sutra_quoted	lnum	page	unadi_ref_project	unadi_match
aguH	agu	puM	nAsti gOH kiraRo yasya saH . bahu- brIhiH .	nAsti gOH kiraRo yasya saH . bahu- brIhiH .							203	1-008-a		
aguru	aguru	klI	na guru durBaraH asmAt iti . bahubrIhiH .	na guru durBaraH asmAt iti . bahubrIhiH .							204	1-008-a		
aguruH	aguru	tri	na guruH . naY samAsaH .	na guruH . naY samAsaH .							205	1-008-b		
aguruSiMSapA	aguruSiMSapA										206	1-008-b		
agUQaganDaM	agUQaganDa	klI	na gUQaH atyutkawaH ganDaH yasya . bahubrIhiH .	na gUQaH atyutkawaH ganDaH yasya . bahubrIhiH .							207	1-008-b		
agocaraH	agocara	tri	na gocaraH . naY samAsaH .	na gocaraH . naY samAsaH .							208	1-008-b		
agOkAH	agOkA										209	1-008-b		
agnAyI	agnAyI	strI	agneH strI ityasmin arTe vfzA- kapyagnikusitetyAdisUtreRa agniSabdasyEkArAdeSo NIp ca .	agneH strI ityasmin arTe vfzA- kapyagnikusitetyAdisUtreRa agniSabdasyEkArAdeSo NIp ca .							210	1-008-b		
agniH	agni	puM	aNgayanti agyraM janma prApayanti iti vyutpattyA haviH prakzepADikaraRezu gArhapatyAhavanI- yadakziRAgnisaByAvasaTyOpAsanAKyezu zaqgnizu . yadvA aNgati UrdDvaM gacCati iti . agi gatO . aNgernalopaSceti niH nalopaSca .	aNgayanti agyraM janma prApayanti iti vyutpattyA haviH prakzepADikaraRezu gArhapatyAhavanI- yadakziRAgnisaByAvasaTyOpAsanAKyezu zaqgnizu . yadvA aNgati UrdDvaM gacCati iti . agi gatO . aNgernalopaSceti niH nalopaSca .							211	1-008-b		
agnikaH	agnika	puM	agni + sAdfSye kapratyayaH		agni	agni + sAdfSye kapratyayaH	kapratyayaH	sAdfSye			212	1-009-a		
agnikaRaH	agnikaRa	puM	agneH kaRaH . agni + kaRa .	agneH kaRaH	agni	agni + kaRa	kaRa				213	1-009-a		
agnikArikA	agnikArikA	strI	agni + kArikA .		agni	agni + kArikA	kArikA				214	1-009-a		
agnikAryyaM	agnikAryya	klI	agni + kAryyaM .		agni	agni + kAryyaM	kAryyaM				215	1-009-a		
agnikAzWaM	agnikAzWa	klI	agni + kAzWaM .		agni	agni + kAzWaM	kAzWaM				216	1-009-b		
agnikukkuwaH	agnikukkuwa	puM	agneH kukkuwEva .	agneH kukkuwEva .							217	1-009-b		
agnikoRaM	agnikoRa	klI	agneH agnidevena aDizWitamityarTaH koRaM .	agneH agnidevena aDizWitamityarTaH koRaM .							218	1-009-b		
agnikrIqA	agnikrIqA	strI	agniBiH krIqA .	agniBiH krIqA .							219	1-009-b		
agnigarBaH	agnigarBa	puM	agniH garBe aByantare yasya saH .	agniH garBe aByantare yasya saH .							220	1-009-b		
agnigarBA	agnigarBA	strI	agniH garBe yasyAH sA .	agniH garBe yasyAH sA .							221	1-009-b		
agnicit	agnicit	puM	agniM citavAn svayam iti ci cayane . agnO ceriti kvip tugAgamaSca .	agniM citavAn svayam iti ci cayane . agnO ceriti kvip tugAgamaSca .							222	1-009-b		
agnijaH	agnija	puM	agni + jan + qa .		agni	agni + jan + qa	qa	jan +			223	1-009-b		
agnijAtaH	agnijAta	puM	agneH jAtaH . agni + jan + kta .	agneH jAtaH	agni	agni + jan + kta	kta	jan +			224	1-009-b		
