key	lnum	page	text
Sruti	74	0002	Sruti; vedaH SrutistaTAmnAyaH svADyAyaSCanda AgamaH . 1.1.1.9
AmnAya	75	0002	AmnAya; vedaH SrutistaTAmnAyaH svADyAyaSCanda AgamaH . 1.1.1.9
svADyAya	76	0002	svADyAya; vedaH SrutistaTAmnAyaH svADyAyaSCanda AgamaH . 1.1.1.9
Candas	77	0002	Candas; vedaH SrutistaTAmnAyaH svADyAyaSCanda AgamaH . 1.1.1.9
Agama	78	0002	Agama; vedaH SrutistaTAmnAyaH svADyAyaSCanda AgamaH . 1.1.1.9
vedAnta	79	0002	vedAnta; vedAntaSca rahasyaM ca buDErupanizanmatA .. 9 .. 1.1.1.9
rahasya	80	0002	rahasya; vedAntaSca rahasyaM ca buDErupanizanmatA .. 9 .. 1.1.1.9
upanizad	81	0002	upanizad; vedAntaSca rahasyaM ca buDErupanizanmatA .. 9 .. 1.1.1.9
Uha	82	0002	Uha; Uhastarko'numAnoktirmImAMsA syAdvicAraRA . 1.1.1.10
tarka	83	0002	tarka; Uhastarko'numAnoktirmImAMsA syAdvicAraRA . 1.1.1.10
anumAnokti	84	0002	anumAnokti; Uhastarko'numAnoktirmImAMsA syAdvicAraRA . 1.1.1.10
mImAMsA	85	0002	mImAMsA; Uhastarko'numAnoktirmImAMsA syAdvicAraRA . 1.1.1.10
vicAraRA	86	0002	vicAraRA; Uhastarko'numAnoktirmImAMsA syAdvicAraRA . 1.1.1.10
kftAnta	87	0002	kftAnta; smftAH kftAntarAdDAntasidDAntasamayAH samAH .. 10 .. 1.1.1.10
rAdDAnta	88	0002	rAdDAnta; smftAH kftAntarAdDAntasidDAntasamayAH samAH .. 10 .. 1.1.1.10
sidDAnta	89	0002	sidDAnta; smftAH kftAntarAdDAntasidDAntasamayAH samAH .. 10 .. 1.1.1.10
samaya	90	0002	samaya; smftAH kftAntarAdDAntasidDAntasamayAH samAH .. 10 .. 1.1.1.10
